Artist,Song title,Popularity Score,Lyrics
The Cult,She Sells Sanctuary,63,"Oh the heads that turn
Make my back burn
And those heads that turn
Make my back, make my back burn

The sparkle in your eyes
Keeps me alive
And the sparkle in your eyes
Keeps me alive, keeps me alive

And the world
And the world turns around
The world, and the world, yeah
The world drags me down

Well the heads that turn
Make my back burn
And those heads that turn
Make my back, make my back burn, yeah

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
UB40,Red Red Wine,74,"Red, red wine
Goes to my head
Makes me forget that I
Still need her so
Red, red wine
It's up to you
All I can do I've done
Memories won't go
Memories won't go

I'd have sworn
That with time
Thoughts of you
Would leave my head
I was wrong
Now I find
Just one thing makes me forget

Red, red wine
Stay close to me
Don't let me be alone
It's tearin' apart
My blue, blue heart

I'd have sworn
That with time
Thoughts of you
Would leave my head
I was wrong
Now I find
Just one thing makes me forget

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,64,"A little less conversation, a little more action please
All this aggravation ain't satisfactioning me
A little more bite and a little less bark
A little less fight and a little more spark
Close your mouth and open up your heart and maybe satisfy me
Satisfy me, baby

Baby, close your eyes and listen to the music
Drifting through a summer breeze
It's a groovy night and I can show you how to use it
Come along with me and put your mind at ease

A little less conversation, a little more action please
All this aggravation ain't satisfactioning me
A little more bite and a little less bark (ah-ah)
A little less fight and a little more spark (ah-ah)
Close your mouth and open up your heart and maybe satisfy me (satisfy me)
Satisfy me, baby (satisfy me)
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Beatles,I Want To Hold Your Hand - Remastered 2015,75,"Oh, yeah, I'll tell you something
I think you'll understand
When I say that something
I wanna hold your hand

I wanna hold your hand
I wanna hold your hand

Oh, please, say to me
And let me be your man
And please, say to me
You'll let me hold your hand

Oh, let me hold your hand
I wanna hold your hand
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Snow Patrol,Set The Fire To The Third Bar,49,"I find the map and draw a straight line
Over rivers, farms and state lines
The distance from A to where you'd B
It's only finger lengths that I see

I touch the place
Where I'd find your face
My fingers in creases
Of distant dark places

I hang my coat up in the first bar
There is no peace that I've found so far
The laughter penetrates my silence
As drunken men find flaws in science

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Nightwish,Ghost Love Score,38,"We used to swim the same moonlight waters
Oceans away from the wakeful day

My fall will be for you (my fall will be for you)
My love will be in you
If you be the one to cut me, I'll bleed forever
My fall will be for you
My love will be in you
If you be the one to cut me, I'll bleed forever

Scent of the sea before the waking of the world
Brings me to thee, into the blue memory

My fall will be for you (my fall will be for you)
My love will be in you
If you be the one to cut me, I'll bleed forever
My fall will be for you
My love will be in you
If you be the one to cut me, I'll bleed forever

Into the blue memory...

A siren from the deep came to me
Sang my name, my longing
Still I write my songs about that dream of mine
Worth everything I may ever be

The child will be born again
That siren carried him to me
First of them true loves
Singing on the shoulders of an angel
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Rufus Wainwright,Going To A Town,38,"I'm going to a town that has already been burnt down
I'm going to a place that has already been disgraced
I'm gonna see some folks who have already been let down
I'm so tired of America

I'm gonna make it up for all of The Sunday Times
I'm gonna make it up for all of the nursery rhymes
They never really seem to want to tell the truth
I'm so tired of you, America

Making my own way home, ain't gonna be alone
I've got a life to lead, America
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Fish,A Gentleman's Excuse Me,44,"Do you still keep paper flowers
In the bottom-drawer with your Belgian lace
Taking them out every year
To watch the colours fade away

Do you still believe in fairy tales
In battlements of shining castles
Safe from the dragons
That lie beneath the hill

Are you still a Russian princes
Rescued by a gypsy-dancer
To anyone who'll listen
Is that a story you still tell

You live a life of fantasy
Your diary romantic fiction
Can't you see it's hard for me
Can you see what I'm trying to say

...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Coldplay,God Put a Smile upon Your Face,64,"Where do we go? Nobody knows
I've gotta say I'm on my way down
God give me style and give me grace
God put a smile upon my face

Where do we go to draw the line?
I've gotta say, I wasted all your time, oh, honey, honey
Where do I go to fall from grace?
God put a smile upon your face, yeah

And ah, when you work it out I'm worse than you
Yeah, when you work it out, I wanted to
And ah, when you work out where to draw the line
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
John Mayer,Heartbreak Warfare,66,"Lightning strike
Inside, my chest to keep me up at night
Dream of ways
To make you understand my pain

Clouds of sulfur in the air
Bombs are falling everywhere
It's heartbreak warfare
Once you want it to begin
No one really ever wins
In heartbreak warfare

If you want more love
Why don't you say so?
If you want more love
Why don't you say so?

Drop his name
Push it in and twist the knife again
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mark Knopfler,Sailing to Philadelphia,39,"I am Jeremiah Dixon
I am a Geordie Boy
A glass of wine with you, sir
And the ladies I'll enjoy
All Durham and Northumberland
Is measured up by my own hand
It was my fate from birth
To make my mark upon the earth

He calls me Charlie Mason
A stargazer am I
It seems that I was born
To chart the evening sky
They'd cut me out for baking bread
But I had other dreams instead
This baker's boy from the west country
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Counting Crows,Accidentally In Love,59,"So she said, what's the problem, baby?
What's the problem? I don't know
Well, maybe I'm in love (love)
Think about it every time I think about it
I can't stop thinking about it

How much longer will it take to cure this?
Just to cure it 'cause I can't ignore it if it's love (love)
Makes me wanna turn around and face me
But I don't know nothing 'bout love

Come on, come on, turn a little faster
Come on, come on, the world will follow after
Come on, come on, because everybody's after love

So I said I'm a snowball running
Running down into the spring that's coming
All this love melting under blue skies
Belting out sunlight, shimmering love

Well, baby, I surrender to the strawberry ice cream
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Anouk,One Word,52,"I close my eyes
And imagine you're here
Did it all seem so hopeless
Given the chance
I would ask
Forgive me
I didn't do a thing to make you stay
I didn't say a word to make you stay
If I would have known
Could I have tried to make it easier?
But I didn't do a thing
Or say a word
One word

And I don't know why you're gone, now you're gone
No beautiful goodbye
You will never leave my mind
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Mike Oldfield,Moonlight Shadow,64,"The last that ever she saw him
Carried away by a moonlight shadow
He passed on, worried and warning
Carried away by a moonlight shadow

Lost in a riddle that Saturday night
Far away on the other side
He was caught in the middle of a desperate fight
And she couldn't find how to push through

The trees that whisper in the evening
Carried away by a moonlight shadow
Sing a song of sorrow and grieving
Carried away by a moonlight shadow

All she saw was a silhouette of a gun
Far away on the other side
He was shot six times by a man on the run
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Racoon,Feel Like Flying,41,"Yeah
I'm walking home after drinking all my pennies.
So now I've got a beatbox in my head.
Probably seems funny to you honey, bunny.
Well it ain't and when I'm home I'm going straight to bed. WOW

Walking home and I haven't got a planny.
Because of all the pennies in my head.
Well I'm pretty flip; and I'm losing grip rocksteady, Betty.
Pretty fly but I'm all right. I don't need a cigarette, 'cause I

Feel like flying. Woow, damn right! I feel like flying.
I've got a rotor on my head.
And I feel like flying. Yep
Oh I feel like flying
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
Krezip,Sweet Goodbyes,56,"Can't sleep, 'cause everything's changing
You don't want to leave things behind
Can't breathe, 'cause too many things going on
Going wrong in your life

Tears in your eyes
Sweet goodbyes

I know how you feel right now
Losing dreams you've come to care about
I know what you need right now
You need to come on home, so I can hold you tight
Get you through the night
I'll get you through the night

Wake up, the sun's shining bright
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
The Script,The Man Who Can't Be Moved,64,"Going back to the corner where I first saw you
Gonna camp in my sleeping bag, I'm not gonna move
Got some words on cardboard, got your picture in my hand
Saying, ""If you see this girl, can you tell her where I am?""

Some try to hand me money, they don't understand
I'm not broke, I'm just a broken-hearted man
I know it makes no sense, what else can I do?
And how can I move on when I'm still in love with you?

'Cause if one day you wake up, and find that you're missing me
And your heart starts to wonder where on this Earth I could be
Thinking maybe you'll come back here to the place that we'd meet
And you'll see me waiting for you, on the corner of the street
So I'm not moving
I'm not moving

Policeman says, ""Son, you can't stay here""
...

******* This Lyrics is NOT for Commercial use *******
(1409623212687)"
