track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Lyrics
Who We Be,DMX,spotify:track:1RbnH7qjUyWJWh8kjFIYNw,0.723,0.833,7,-4.879,1,0.15,0.123,0,0.272,0.616,82.741,287867,4,24.02537,12,1,"Uh, yeah, another one of those (this is for my nigga Q)
Down to Earth joints (rest in peace, baby, you know how we roll)
There's so many that don't know (you knew I could do it)
(They don't know who we be)
This goes out to my nigga Q, rest in peace, baby (I miss you, dog)
They don't know who we be (you still here with me?)

What they don't know is
The bullshit, the drama (uh), the guns, the armor (uh)
The city, the farmer, the babies, the mama (what?)
The projects, the drugs (uh), the children, the thugs (uh)
The tears, the hugs, the love, the slugs (come on)
The funerals, the wakes, the churches, the coffins (uh)
The heartbroken mothers, it happens too often (why?)
The problems, the things we use to solve 'em (what?)
Yonkers, the Bronx (uh), Brooklyn, Harlem (come on)
The hurt, the pain, the dirt, the rain (uh)
The jerk, the fame, the work, the game (uh)
The friends, the foes, the Benz, the hoes (what?)
The studios, the shows, comes and it goes (come on)
The jealousy, the envy, the phony, the friendly (uh-huh)
The one that gave 'em the slugs the one that put 'em in me (woo)
The snakes, the grass too long to see (uh, uh)
The lawnmower sittin' right next to the tree (come on)

They don't know who we be
They don't know who we be
They don't know who we be
They don't know who we be
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Crazy For This Girl,Evan And Jaron,spotify:track:2gdt70w8DOCWGq1HdkgSUd,0.457,0.926,0,-5.461,1,0.038,0.000487,5.69e-05,0.0949,0.41,93.964,202027,4,30.81397,9,1,"She rolls the window down
And she talks over the sound
Of the cars that pass us by
And I don't know why
But she's changed my mind

Would you look at her? She looks at me
She's got me thinking about her constantly
But she don't know how I feel
And as she carries on without a doubt
I wonder if she's figured out
I'm crazy for this girl
Yeah, I'm crazy for this girl

She was the one to hold me
The night the sky fell down
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Raised By Wolves,Voxtrot,spotify:track:60ooMa1yzfKIl1Nf4O1GI5,0.406,0.864,9,-5.399,1,0.0397,0.0815,0,0.196,0.686,150.997,280613,4,39.91061,12,0,"I was going hungry and lazy here
When you stopped me in my tracks
I was going crazy; I was desolate and ready to kill
But maybe I believe in another place
If you go, you won't look back
But anywhere you go you know
The ugliness will follow you still

And you break
This into waves
We are desperate, lonely and underpaid
I'm a bitter man, I know
But listen, honey, you're no fun

I will never live like you
But you will probably die like me
All loveless, free and empty
Full of God, and God makes plenty
You will go on searching
For someone to keep you killing
If you love me, won't you leave me?
'Cause I want to settle down

First you
Fade into the background
Wouldn't even call me
Had the nerve to leave me
Go ahead and love me
I'm a hungry man
Ever since you went away

First you
Fade into the background
Wouldn't even call me
Had the nerve to leave me
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Lovin' All Night,Patty Loveless,spotify:track:4b1VB40YkgEBiwhPfLEDTY,0.493,0.781,4,-8.663,0,0.0487,0.22,2.29e-06,0.122,0.729,171.982,217267,4,43.01747,11,1,"(Rodney Crowell)

Now, baby, pull the covers back over my head.
I don't want to get it up outta this bed.
I don't wanna drag it on off to work.
That big boss man is really a flirt.
We've been lovin' all night,
Just about settin' me everything right.
Hope it don't get me.
I'm gonna live it just as long as I can.
I'm gonna make it every part of my plan.
Lovin' all night, hangin' on tight,
No doubt about it, been lovin' all night.

Well, you tell me I'm as pretty as a fresh cut flower,
When you show me how you love me in the wee small hours.
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Concrete Angel,Martina McBride,spotify:track:2LLcI3oU4CedCQDV5tJ1SK,0.622,0.392,1,-9.737,1,0.0253,0.498,0,0.146,0.274,77.991,253000,4,23.81293,10,1,"She walks to school with the lunch she packed
Nobody knows what she's holding back
Wearing the same dress she wore yesterday
She hides the bruises with the linen and lace ohhh

The teacher wonders but she doesn't ask

It's hard to see the pain behind the mask
Bearin' the burden of the secret storm
Sometimes she wishes she was never born
Through the wind and the rain she stands hard as a stone
In a world that she can't rise above
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Heaven Awaits,XE-NONE,spotify:track:5ASAi0bBecKHSsV9gxTptI,0.369,0.957,7,-0.873,0,0.0513,5.17e-05,0.344,0.385,0.278,110.145,297818,4,44.88331,13,0,"My sons, your life is short.
End of days is near.
Hear my voice, novitiates
And execute my will
A Sacred place for sacrifice
We find the way to God
Take the cure, forget the fear
And save your soul

Pray, my children
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Carrion,Parkway Drive,spotify:track:0xfWKcNu13xxXQ2GT0P09M,0.228,0.969,6,-4.07,0,0.1,0.000275,0,0.0982,0.428,155.212,187960,4,23.59964,11,0,"Carrion
In a moment I'm lost
Dying from the inside, her eyes take me away
Tear me apart from the inside out

Dead eyes speak in volumes
But our lips refuse to move
Could this ever be the last time?
The final time that we see this through?
Give me the strength to return
Return the breath you've stolen
Give me the means to reset, reset
Her heart I've broken again
Reflection, built upon sorrow
We're walking the darkest roads
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Hollywood's Not America,Ferras,spotify:track:5wizvr1JlRR3XWmKkOmEtV,0.478,0.617,5,-6.162,1,0.0343,0.244,0,0.131,0.598,156.058,195067,4,66.78914,6,1,"Born Helena Jane
With a restless soul
She moved west to california
Became a center-fold

But once you change your name
Well the pieces fall
Now she hardly recognizes herself at all

And there's never any rain, when you want it
A hollow little game, and you've won it
Looking for a thrill but you've done it all

So long, put your blue jeans back on girl
Go home
Remember hollywood is not america
So long put your blue jeans back on girl
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Soon Cometh The Day,The Deal,spotify:track:5oJFEmHcd8lYUQ0z46fRc4,0.172,0.997,2,-2.487,1,0.129,3.64e-05,1.47e-05,0.856,0.263,138.559,186907,4,28.35432,8,0,"All the years of my life
I've been knocked and kicked around
Struggling to reach towards better days
For so long I was lost but now I'm found
I thought I had it right for so long
And I thought I had it all
But little bit did I know
All my self made cities were about to fall
I was goin along with the flow
I know wasn't right, right, right, right
I got put inmy place because
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Holding Out For A Hero,Emery,spotify:track:0jv02H4hZ6M9NU1f3ua8Pm,0.472,0.824,5,-5.2,0,0.0399,0.0296,1.4e-05,0.0945,0.16,138.069,256107,4,36.06863,13,0,"Where have all the good men gone
And where are all the gods?

Where's the street-wise Hercules
To fight the rising odds?

Isn't there a white knight upon a fiery steed?
Late at night I toss and turn and dream

Of what I need
I need a hero
I'm holding out for a hero 'til the end of the night
He's gotta be strong

And he's gotta be fast
And he's gotta be fresh from the fight

...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
The Thin Line Between Love and Hate - 2015 Remaster,Iron Maiden,spotify:track:0UlBoGUcdyia9oxiIMmBi9,0.236,0.955,6,-4.586,0,0.157,0.00105,0.243,0.623,0.312,167.749,507253,4,59.25605,19,0,"When a person turns to wrong
Is it a want to be, belong?
Part of things at any cost
At what price a life is lost?
At what point do we begin?
Fighter spirit, will to win
But what makes a man decide
Take the wrong or righteous road?

There's a thin line between love and hate
Wider divide that you can see between good and bad
There's a grey place between black and white
But everyone does have the right to choose the path that he takes

We all like to put the blame
On society these things
But what kind of good or bad
A new generation brings?
Sometimes takes just more than that
To survive be good at heart
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
If I Ever Die,Candlemass,spotify:track:70OXPMTe4X6oI0OmBFud3M,0.221,0.929,6,-2.376,0,0.0783,5.33e-05,0.0191,0.577,0.382,122.607,294307,4,100.32729,12,0,"If I ever die, I'm begging you, please come with me
We're gonna groove, into the blue
All the parasites, oh just leave them, pigs can't fly
There's no tomorrow, no regrets, no goodbyes

I will fly, into the sunset, way up high
Don't be sorry, nothing good I leave behind
You don't worry, evil lasts a 100 lifetimes
It won't happen to me
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Show Me How To Live,Audioslave,spotify:track:1Qdnvn4XlmZANCVy3XjrQo,0.433,0.854,9,-3.868,1,0.0483,0.000336,0.000177,0.162,0.368,89.4,277840,4,44.12262,13,1,"And with the early dawn
Moving right along
I couldn't buy and eyeful of sleep
And in the aching night under satellites
I was not received
Built with stolen parts
A telephone in my heart
Someone get me a priest
To put my mind to bed
This ringing in my head
Is this a cure or is this a disease

Nail in my hand
From my creator
You gave me life
Now show me how to live

Nail in my hand
From my creator
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
I Don't Care (feat. Adam Gontier),Apocalyptica,spotify:track:7KRnJW2x33Mb84NavoKmbh,0.298,0.795,2,-4.146,0,0.0371,0.00583,0,0.117,0.0892,178.95,237920,4,35.23108,10,0,"I try to make it through my life
In my way there's you...
I try to make it through these lies
That's all I do

Just don't deny it
Just don't deny it
And deal with it
Yeah, deal with it
You tried to break me
You wanna break me
Bit by bit
That's just part of it

If you were dead or still alive
I don't care
I don't care
And all the things you left behind
I don't care
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Self Termination,Insect Warfare,spotify:track:0blpJaoRvc35QKsEMck6ak,0.122,0.998,6,-4.968,1,0.122,1.24e-05,0.0819,0.294,0.0316,144.288,85240,4,60.56903,4,0,"They control your life
They control all your thoughts and who you are, sacrificed yourself for friends
Filled with insecurities and self-abhorrence
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Baby Girl,Sugarland,spotify:track:6qQIH999KekS3qFWqR5qMO,0.447,0.739,1,-3.246,1,0.0334,0.212,0,0.0488,0.56,166.761,239693,4,32.00656,11,1,"They say in this town
The stars stay up all night
Well I don't know, can't see em'
For the glow of the neon lights
And it's a long way from here
To the place where the home fires burn
Well it's two thousand miles and one left turn

Dear Mom and Dad please send money
I'm so broke that it ain't funny
Well I Don't need much just enough to get me through
Please don't worry 'cause I'm all right
See I'm playin' here at the bar tonight
Well this time I'm going make our dreams come true
Well I love you more than anything in the world
Love your baby girl

Blacktop, blue sky
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Incinerate,Sonic Youth,spotify:track:0lDoG5fQ9cmpvpenwR7Jln,0.446,0.866,8,-8.016,1,0.0342,0.0794,0.543,0.137,0.455,152.172,295813,4,30.01502,14,0,"I ripped your heart out from your chest,
Replaced it with a grenade blast

Incinerate, incinerate
Incinerate, incinerate

The firefighters hose me down.
I don't care, I'll burn out anyhow.
It's for alarm, girl, nothing to see.
Hear the sirens come for me...
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Lovers And Friends,Lil Jon & The East Side Boyz Featuring Usher & Ludacris,spotify:track:41PWz0hAiU9FqsmjR9Wh62,0.675,0.501,10,-6.183,1,0.22,0.0541,0,0.429,0.532,139.861,260600,4,54.79338,12,1,"Usher (Lil Jon, Ludacris)
Yeah, man, once again it's on (It's on)
You know we had to do it again right?
(We had to do it again boy!)
Uh-huh, uh, yeah
(I want you to sing to these niggas man)
Uh-oh-oh-oh (I guess I'm up first, let me at 'em)
Uh-oh-oh-oh (Check me out, let's get it)

Baby, how you doing? Hope that you're fine
Wanna know what you got in mind, and I
Got me feenin' like Jodeci, girl, I can't leave you alone
Take a shot of this here Patron and it's gon' be on
V.I.P done got way too crowded
I'm about to end up callin' it a night
She should, holla at your girl, tell her that you're shaking the scene
Pulled off, beep beep, shotgun in the GT with me
She said, ""Oh-oh I'm ready to ride""
(I was like) Yeah
'Cause once you get inside, you can't change you mind
Don't mean to sound impatient but you gotta promise, baby, oh

Tell me again (Tell me again, my baby)
That we'll be lovers and friends (Oh, I gotta know baby, oh yeah)
Tell me again (Make sure you're right, oh, before we begin)
That we'll be lovers and friends (Oh, oh, it's a good look, baby)
(It's a really good look baby, look here)
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Amazed,Lonestar,spotify:track:6iNcyWk5iUEY7P9zeTc5hm,0.557,0.553,1,-7.954,1,0.0319,0.247,0,0.125,0.253,139.821,239987,4,33.29244,14,1,"Every time our eyes meet
This feelin' inside me
Is almost more than I can take
Baby when you touch me
I can feel how much you love me
And it just blows me away

I've never been this close to anyone or anything
I can hear your thoughts
I can see your dreams

I don't know how you do what you do
I'm so in love with you
It just keeps gettin' better
I wanna spend the rest of my life
With you by my side
Forever and ever
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Can You Hear the Sound?,The Horrorist,spotify:track:0skg3lO8HklYJJdojKN3em,0.647,0.615,8,-14.358,0,0.042,0.00644,0.102,0.141,0.527,131.996,229696,4,39.34386,10,0,"Are you with me tonight?
Can You take the pressure?
Are you ready to move?
Are you ready to groove?

Sound with the power, past the midnight hour.
There's no going back! Full on attack!
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Not Right - Remastered,The Stooges,spotify:track:4NuS2pLBYxMqog1WpgMlhA,0.278,0.82,9,-3.869,1,0.0315,0.0128,0.292,0.0488,0.461,149.771,169667,4,31.52176,7,0,"She
Not right
I want something
I want something
Tonight
I want something
I want something
Alright
But she
Can't help
Cause she's not right
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Fallin' For You,Colbie Caillat,spotify:track:1le5KVGTF1xWf2aUj7ruLy,0.644,0.834,4,-6.473,1,0.0275,0.156,0,0.112,0.593,117.043,215547,4,36.08279,12,1,"I don't know but
I think I may be
Fallin' for you
Dropping so quickly
Maybe I should
Keep this to myself
Waiting 'til I
Know you better

I am trying
Not to tell you
But I want to
I'm scared of what you'll say
So I'm hiding what I'm feeling
But I'm tired of
Holding this inside my head

I've been spending all my time
Just thinking 'bout you
I don't know what to do
I think I'm fallin' for you

I've been waiting all my life
And now I found you
I don't know what to do
I think I'm fallin' for you
I'm fallin' for you

...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Untitled (How Does It Feel),D'Angelo,spotify:track:4oPNN7syJYSjzDhRerF966,0.838,0.304,4,-9.975,0,0.0628,0.16,0.0257,0.0828,0.221,112.618,430800,3,32.05569,18,1,"Girl, it's only you
Have it your way
And if you want you can decide
And if you'll have me
I can provide everything that you desire

Say, if you get a feeling
Feeling that I am feeling
Won't you come closer to me, baby?
You've already got me right where you want me, baby
I just wanna be your man

How does it feel?
How does it feel?
Say, I wanna know how does it feel
How does it feel?
How does it feel?

I wanna stop
Silly little games you and me play
And I am feeling right on
If you feel the same way, baby
Let me know right away

I'd love to make you wet
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Hot Smoke and Sassafras,Bubble Puppy,spotify:track:0th4nmSjaw7MqjFAkLg5Qm,0.38,0.916,2,-5.372,1,0.159,0.217,0.00112,0.115,0.614,164.271,157467,4,37.57591,9,0,"In the mist of sassafras
Many things will come to pass
And the smoke shall rise again
To the place above where it began

...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Total Desaster,Destruction,spotify:track:0UWRqF9gSYy8WUBwq8UlN3,0.481,0.999,2,-2.806,1,0.15,2.49e-06,0.893,0.369,0.337,93.52,206747,4,39.47237,7,0,"I was born in a dark winter night
Thunder and lightning greeted me
Now it's the time to begin to fight
Kingdom of Heaven, I can't see

My home is the bloody Hell
At the place where Satan rules
The world is now like a big shell
The fire of Hell will destroy the fools

Never trust the virgin preacher
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Smoke Rings In The Dark,Gary Allan,spotify:track:47tVV7s6UzdcyTJBoIW7aX,0.534,0.596,2,-7.148,1,0.0279,0.277,0.000359,0.148,0.147,114.957,257646,4,72.72927,9,1,"Well, I won't make you tell me
What I've come to understand
You're a certain kind of woman
I'm a different kind of man
I've tried to make you love me
You've tried to find a spark
Of the flame that burned and somehow turned to
To smoke rings in the dark

The loneliness within me
Takes a heavy toll
'Cause it burns as slow as whiskey
Through an empty achin' soul
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Babylon,David Gray,spotify:track:5jLqVCGlKNYrLqCA1Qy4FV,0.737,0.543,8,-10.403,1,0.0374,0.0598,0.01,0.103,0.256,112.016,265667,4,35.17653,10,1,"Friday night, I'm going nowhere
All the lights are changing, green to red

Turning over TV stations
Situations running through my head

Looking back through time
You know it's clear that I've been blind, I've been a fool

To open up my heart to all that jealousy
That bitterness, that ridicule

Saturday, I'm running wild
And all the lights are changing, red to green

Moving through the crowds
I'm pushing chemicals all rushing in my bloodstream

I only wish that you were here
You know I'm seeing it so clear
I've been afraid
To show you how I really feel
Admit to some of those bad mistakes I've made

And if you want it
Come and get it
Crying out loud
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Ride,Martina McBride,spotify:track:2FJHCgDZ24gwcRLm5TFpzq,0.556,0.836,7,-3.931,1,0.042,0.109,0,0.274,0.559,116.978,232547,4,40.75309,8,1,"Yeah ahh yeah

You wake up from your dream and, and you don't want to face the day
You can't find a reason to think your world will ever change
You can hide beneath the covers
Or you can run outside head up high and carry on

Life is a roller coaster ride
Time Turns a Wheel and Love Collides
Faith is believing you can close your eyes and touch the sky.
So Shine while you have the chance to shine
Laugh even when you want to cry
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
All the Earth,Parachute Band,spotify:track:1QPcGIXEMxqLbG6nQ6Ssjq,0.399,0.627,11,-6.833,1,0.0329,0.0135,0,0.462,0.374,157.911,365896,4,35.70846,20,0,"Father, into Your courts I will enter
Maker of Heaven and Earth
I tremble
In Your holy presence

Glory, glory in Your sanctuary
Splendor and majesty Lord
Before You
All life adores You

All the earth will declare
That Your love is everywhere
The fields will exalt
Seas resound

Hear the trees, joyful cry
Praising You and so will I
A new song I'll sing
Lord I will

Glorify and bless Your holy name

Glorify Your name

Glorify and bless Your name

Father, into Your courts I will enter
Maker of heaven and earth
I tremble
In Your holy presence
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
District of Misery,Oceano,spotify:track:257bEZ22RZz4epQ4YHkTKP,0.599,0.988,6,-3.337,1,0.233,0.000202,0.478,0.0927,0.0541,124.993,194653,4,32.17259,11,0,"We are the antidote
And also the disease
We're the oppressors who posses marks of the beast
Mankind diserves this
A catalyst for deconstruction
A scapegoat to hold
Humanity
On it's knees
A self-inflicted
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Stay Or Let It Go,Brian McKnight,spotify:track:6OCkJHVoGoWOMymzjzdOHX,0.639,0.57,5,-6.714,0,0.0382,0.0198,0.000565,0.215,0.458,79.993,279893,4,26.38782,11,1,"What's up girl? I need to talk to you for a minute
I can't keep playin' myself like this
There's only one thing I wanna know
Should I stay or should I go?

It's not my fault that you made yourself a regretful past
But all I know is, it makes me look bad
When I'm holdin' your hand and you see old friends you knew
And they walk away laughin', callin' me a fool

Now baby, I can't change the things you did before we met
Even though I didn't know you
But it's hard for me to trust you even though girl, I love you
So tell me what am I to do? yeah

Don't know if we would last
And if we do last can I erase the past?
Girl, can you tell me? I don't know
Should I stay or let it go?

Don't know if we're meant to be
And if we should be, could you live faithfully?
Girl, can you tell me? I don't know
Should I stay or let it go?

...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Jai Ho! (You Are My Destiny),A.R. Rahman,spotify:track:7Kpqjspw4Y7HrvItIRcBiW,0.657,0.941,8,-3.919,0,0.061,0.0476,0,0.0797,0.879,136.202,222400,4,21.90805,12,0,"जय हो!
(जय हो!)

I got shivers when you touch away
I'll make you hot, get all you got
I'll make you wanna say

(जय हो!)
(जय हो!)

I got fever running like a fire
For you I will go all the way
I'm gonna take you higher (जय हो!)

I'll keep it steady
'Cause steady is how I deal it (जय हो!)
This beat is heavy
So heavy you're gonna feel it

(जय हो!) You are the reason that I breathe
(जय हो!) You are the reason that I still believe
(जय हो!) You are my destiny (my destiny)
जय हो-हो! Oh, oh, oh

(जय हो!) No, there is nothing that can stop us
(जय हो!) Nothing can ever come between us
(जय हो!) So, come and dance with me, जय हो!

Catch me, catch me, catch me
Come and catch me, I want you now
I know you can save me
Come and save me, I need you now
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Do You,Ne-Yo,spotify:track:0JKjqJLo145b1mqA6MnhIl,0.588,0.614,5,-5.857,0,0.0726,0.31,0,0.321,0.59,121.299,228267,5,25.86731,10,1,"Maybe this decision was a mistake
You probably don't care what I have to say
But it's been heavy on my mind for months now
Guess I'm trying to clear some mental space

I would love to talk to you in person
But I understand why that can't be
I'll leave you alone for good I promise
If you answer this one question for me

I just wonder
Do you ever
Think of me anymore
Do you?

First off let me say congratulations
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Beautiful Soul,Jesse McCartney,spotify:track:1HwpWwa6bnqqRhK8agG4RS,0.66,0.666,9,-4.342,1,0.0472,0.0759,0,0.0268,0.933,89.975,214227,4,23.73859,9,1,"I don't want another pretty face
I don't want just anyone to hold
I don't want my love to go to waste
I want you and your beautiful soul

I know that you are something special
To you I'd be always faithful
I want to be what you always needed
Then I hope you'll see the heart in me

I don't want another pretty face
I don't want just anyone to hold
I don't want my love to go to waste
I want you and your beautiful soul
You're the one I wanna chase
You're the one I wanna hold
I won't let another minute go to waste
I want you and your beautiful soul
Your beautiful soul, yeah

You might need time to think it over
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Apparition,Rx Bandits,spotify:track:1yC2n0cfsyIASjIKD0EZ3H,0.586,0.818,0,-6.207,0,0.0404,0.211,0,0.0967,0.736,137.771,219133,4,34.74669,10,0,"She says she's gonna come over tonight
Look like a ghost sound like a whisper shivering down my spine
I'm just a traveling soul, say you'd never leave me alone,
Tell me you need me so tonight
She come creeping up slow
I got no place, no place to go
But now I'm feeling like I fell for you oh baby, no don't you sell it
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Thoia Thoing,R. Kelly,spotify:track:5uj2AfrbHQREGXVxhqhvyU,0.582,0.642,1,-4.925,1,0.307,0.274,2.98e-05,0.0717,0.936,85.565,221267,4,32.58129,8,1,"Thoia thoia thoia thoia thoing thoing (uh)
Thoia thoia thoia thoia thoing (It's Kellz)
Thoia thoia thoia thoia thoing thoing (From Chi-Town)
Thoia thoia thoia thoia thoing (Japan via satelite, come on ya'll)
I had her singing
Thoia thoia thoia thoia thoing thoing (America)
Thoia thoia thoia thoia thoing (Getcha hands up)
She had me singing
Thoia thoia thoia thoia thoing thoing (Woooo)
Thoia thoia thoia thoia thoing (Woooo)

To who made need to kno
Thats her on da flo
Sliding down the pole
Horny but fo sho
Both her hand were up
Drinks was in the cup
She showd me some love so we left the club
Now were up in the Hummer V
Shes so hot shes kissing on me
This is the girl of my fantasy
After the remidy we were doing our thing

I got her singing
Thoia thoia thoia thoia thoing thoing
Thoia thoia thoia thoia thoing
She had me singing
Thoia thoia thoia thoia thoing thoing

Thoia thoia thoia thoia thoing

I got her singing

Thoia thoia thoia thoia thoing thoing
Thoia thoia thoia thoia thoing
She had me singing
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
You Can't Always Get What You Want,Glee Cast,spotify:track:1Y7abeCiyuhkE7lVliXkWp,0.234,0.745,7,-6.017,1,0.0524,0.175,0,0.295,0.41,93.825,207160,4,32.39622,10,1,"You can't always get what you want
You can't always get what you want
You can't always get what you want
But if you try sometimes, you'll find
You get what you need
You get what you need

I saw her today at the reception
A glass of wine in her hand
Oh, I knew she was gonna meet her connection
At her feet was a footloose man
No, you can't (You can't always get what you want)
Oh, no, no you can't (You can't always get what you want)
What you want... (You can't always get what you want)
You can't always get what you want

But if you try sometimes, well, you just might find
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Get Back,Demi Lovato,spotify:track:5rnLFnHktBdmpxwYXJXyQI,0.558,0.867,0,-3.722,1,0.116,0.00327,0,0.0426,0.72,76.018,200213,4,20.08995,9,1,"Don't walk away like you always do this time
Baby, you're the only thing that's been on my mind
Ever since you've left I've been a mess
(You won't answer your phone)
I'll say it once and I'll leave you alone
But I gotta let you know

I wanna get back to the old days
When the phone would ring and I knew it was you
I wanna talk back and get yelled at
Fight for nothing like we used to

Oh, kiss me like you mean it
Like you miss me, 'cause I know that you do
I wanna get back, get back
With you

Don't look at me that way, I see it in your eyes
Don't worry about me, I've been fine
I'm not gonna lie I've been a mess
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
A Moment Like This,Kelly Clarkson,spotify:track:4kvdX9zzsix7jYHsRVkVUH,0.414,0.572,8,-3.918,1,0.0311,0.163,0,0.115,0.16,145.184,228280,4,62.08004,9,1,"What if I told you it was all meant to be?
Would you believe me?
Would you agree?
It's almost that feeling
We've met before
So, tell me that you don't think I'm crazy
When I tell you, love has come here and now

A moment like this, some people wait a lifetime for a moment like this
Some people search forever for that one special kiss
Oh, I can't believe it's happening to me
Some people wait a lifetime for a moment like this
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
So Yesterday,Hilary Duff,spotify:track:0J1Wfjo9H3R62yaCuuNDZX,0.552,0.802,0,-3.799,1,0.0615,0.215,0,0.275,0.776,78.208,215333,4,47.66415,6,1,"So yesterday
So yesterday, so yesterday

You can change your life (if you wanna)
You can change your clothes (if you wanna)
If you change your mind
Well, that's the way it goes
But, I'm gonna keep your jeans
And your old black hat ('cause I wanna)
They look good on me
You're never gonna get them back
At least not today, not today, not today

'Cause if it's over let it go and
Come tomorrow it will seem so yesterday, so yesterday
I'm just a bird that's already flown away

Laugh it off and let it go and
When you wake up it will seem so yesterday, so yesterday
Haven't you heard that I'm gonna be okay? (Ha, okay)
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Free And Easy (Down The Road I Go),Dierks Bentley,spotify:track:4Ng7hGdPwpINleVecBWiOO,0.557,0.825,6,-4.657,1,0.0283,0.00525,0.00164,0.177,0.841,120.015,201120,4,17.1187,12,1,"Pair of boots and a sack of clothes
Free and easy down the road I go
Hangin' memories on the high line poles
Free and easy down the road I go
Free and easy down the road I go

Ragweed's rockin' on the radio
Free and easy down the road I go
So I keep rollin' like an old banjo
Free and easy down the road I go
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Take Me On The Floor,The Veronicas,spotify:track:7MFvqBJ3ozTwDrf5VfoW8U,0.61,0.9,11,-2.304,0,0.0453,0.00345,7.86e-06,0.272,0.621,139.969,210480,4,18.03228,9,1,"The lights are out and I barely know you
We're going up and the place is slowing down (down, down)
I knew you'd come around
You captivate me, something about you has got me
I was lonely now you make me feel alive (alive alive)
Will you be mine tonight?

Take me on the floor (da da da da da da da da)
I can't take it anymore (da da da da da da da da)
I want you, I want you, I want you to show me love
Just take me on the floor (da da da da da da da da)
I can give you more (da da da da da da da da)
You kill me, you kill me, you kill me with your touch

My heart is racing as you're moving closer
You take me higher with every breath I take (I take)
Would it be wrong to stay?
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Salt Air,Chew Lips,spotify:track:2VzaCcG2i11AFJZCu8AXVs,0.629,0.816,2,-5.631,0,0.061,0.011,0,0.112,0.42,121.988,174083,4,40.40202,10,0,"Pushing into every corner, yes we do
Climbing walls and running lights we're leaving you
Buy your cars and clean your homes, we'll see you there
Your an ocean and the salt air

Don't want nothing but the callousness I had
And I'm trying all I can to get it back
On the bridge and its not such a long way down
Sorry officer, we're just fooling around

You've been drinking
You've been driving
Crashed your car
Said a prayer
Get outside (?)
And he's not there

Pushing into every corner, yes we do
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
Cato As A Pun,of Montreal,spotify:track:6BhkRrMSy8Skyf1mhxVJbI,0.417,0.85,5,-4.974,0,0.0439,0.000986,0.00311,0.324,0.497,200.001,182600,4,40.0139,7,0,"Cato, play with my head
I won't know the difference
If we're living in the novelist or statistician.

Cato, mess with my concepts, my inner vision
...

******* This Lyrics is NOT for Commercial use *******
(1409623229973)"
